week,year,average,median,low,high
28,2018,442.6057142857143,434.13,431.46,471.6
29,2018,470.14285714285717,468.39,448.21,499.01
30,2018,466.20714285714286,468.12,449.0,478.79
31,2018,421.82142857142856,417.8,407.0,456.46
32,2018,352.8457142857143,355.7,318.02,404.99
33,2018,292.2242857142857,286.67,279.4,317.54
34,2018,276.02285714285716,275.87,270.47,281.49
35,2018,289.7914285714286,289.0,281.94,295.39
36,2018,234.1057142857143,227.56,195.91,288.6
37,2018,204.02142857142857,210.0,182.79,221.69
38,2018,224.50142857142853,224.41,195.97,247.76
39,2018,224.9,228.01,214.15,232.27
40,2018,224.40285714285713,224.82,219.01,230.4
41,2018,206.92142857142855,196.72,188.32,227.68
42,2018,202.45428571428576,202.69,199.2,205.43
43,2018,201.04142857142855,201.12,199.65,202.43
44,2018,198.96142857142854,197.96,194.31,210.06
45,2018,211.79142857142855,210.29,208.01,218.65
46,2018,184.20142857142855,177.79,172.4,208.77
47,2018,125.23428571428572,123.25,110.16,145.21
48,2018,113.88571428571429,114.76,106.95,121.94
49,2018,97.27142857142856,92.79,89.09,108.61
50,2018,85.77142857142857,85.35,83.0,89.23
51,2018,108.87,107.74,93.79,129.61
52,2018,131.82285714285712,134.15,114.63,139.09
1,2018,130.53,130.53,130.53,130.53
1,2019,150.64166666666668,153.37,139.75,155.92
2,2019,134.50000000000003,126.41,115.58,150.62
3,2019,121.88142857142859,122.12,117.43,128.37
4,2019,115.45714285714287,115.86,111.35,118.08
5,2019,106.28714285714285,105.88,104.02,109.3
6,2019,111.23000000000002,106.08,103.21,123.94
7,2019,122.11714285714287,120.74,119.39,132.34
8,2019,144.95857142857145,144.62,131.76,157.56
9,2019,134.15142857142857,134.48,129.78,137.64
10,2019,134.09285714285713,136.29,125.24,137.0
11,2019,134.56428571428572,132.8,131.16,140.48
12,2019,136.54571428571427,136.52,134.41,138.73
13,2019,138.4257142857143,139.08,133.01,142.83
14,2019,161.62571428571428,164.69,141.0,174.84
